state|city|region|lat|lon|road
AC|Rio Branco|Norte|-9.975|-67.824|BR-364 / BR-317
AC|Cruzeiro do Sul|Norte|-7.627|-72.677|BR-364
AC|Brasiléia|Norte|-11.016|-68.748|BR-317
AL|Maceió|Nordeste|-9.665|-35.735|BR-101 / BR-104 / AL-101
AL|Arapiraca|Nordeste|-9.752|-36.661|BR-101 / BR-316 / AL-220
AL|Palmeira dos Índios|Nordeste|-9.405|-36.633|BR-316 / AL-115
AP|Macapá|Norte|0.035|-51.070|BR-156 / BR-210
AP|Santana|Norte|-0.058|-51.181|BR-156 / AP-010
AP|Oiapoque|Norte|3.843|-51.835|BR-156
AM|Manaus|Norte|-3.119|-60.021|BR-174 / BR-319 / AM-010
AM|Itacoatiara|Norte|-3.143|-58.444|AM-010
AM|Manacapuru|Norte|-3.299|-60.621|AM-070
AM|Humaitá|Norte|-7.506|-63.020|BR-319 / BR-230
BA|Salvador|Nordeste|-12.977|-38.501|BR-324 / BR-101 / BA-099
BA|Feira de Santana|Nordeste|-12.266|-38.966|BR-324 / BR-116 / BR-101
BA|Vitória da Conquista|Nordeste|-14.861|-40.844|BR-116 / BR-415
BA|Itabuna / Ilhéus|Nordeste|-14.793|-39.280|BR-101 / BR-415
BA|Barreiras|Nordeste|-12.152|-44.990|BR-242 / BR-135
BA|Juazeiro|Nordeste|-9.416|-40.503|BR-407 / BR-235 / BA-210
CE|Fortaleza|Nordeste|-3.731|-38.526|BR-116 / BR-222 / CE-040
CE|Sobral|Nordeste|-3.689|-40.350|BR-222
CE|Juazeiro do Norte|Nordeste|-7.213|-39.315|BR-116 / CE-060
CE|Caucaia|Nordeste|-3.736|-38.653|BR-020 / BR-222
DF|Brasília|Centro-Oeste|-15.780|-47.929|BR-040 / BR-060 / BR-070 / BR-020 / DF-001
DF|Taguatinga|Centro-Oeste|-15.833|-48.056|BR-060 / DF-001
ES|Vitória / Serra|Sudeste|-20.315|-40.312|BR-101 / BR-262
ES|Linhares|Sudeste|-19.391|-40.072|BR-101
ES|Cachoeiro de Itapemirim|Sudeste|-20.848|-41.112|BR-482 / BR-101
ES|Colatina|Sudeste|-19.539|-40.630|BR-259
GO|Goiânia|Centro-Oeste|-16.686|-49.264|BR-060 / BR-153 / GO-060
GO|Anápolis|Centro-Oeste|-16.328|-48.953|BR-060 / BR-153 / BR-414
GO|Rio Verde|Centro-Oeste|-17.792|-50.919|BR-060 / BR-452
GO|Luziânia|Centro-Oeste|-16.252|-47.950|BR-040
GO|Jataí|Centro-Oeste|-17.878|-51.720|BR-060 / BR-364
MA|São Luís|Nordeste|-2.530|-44.306|BR-135
MA|Imperatriz|Nordeste|-5.526|-47.477|BR-010 / BR-226
MA|Açailândia|Nordeste|-4.946|-47.500|BR-010 / BR-222
MA|Caxias|Nordeste|-4.858|-43.356|BR-316
MA|Balsas|Nordeste|-7.532|-46.035|BR-230
MT|Cuiabá|Centro-Oeste|-15.601|-56.097|BR-364 / BR-163 / MT-010
MT|Rondonópolis|Centro-Oeste|-16.467|-54.638|BR-163 / BR-364
MT|Sinop|Centro-Oeste|-11.864|-55.502|BR-163
MT|Sorriso|Centro-Oeste|-12.545|-55.711|BR-163
MT|Barra do Garças|Centro-Oeste|-15.891|-52.256|BR-070 / BR-158
MS|Campo Grande|Centro-Oeste|-20.469|-54.620|BR-163 / BR-262
MS|Dourados|Centro-Oeste|-22.221|-54.805|BR-163 / MS-156
MS|Três Lagoas|Centro-Oeste|-20.784|-51.700|BR-262 / BR-158
MS|Corumbá|Centro-Oeste|-19.009|-57.653|BR-262
MS|Ponta Porã|Centro-Oeste|-22.536|-55.725|BR-463
MG|Belo Horizonte / Contagem|Sudeste|-19.916|-43.934|BR-040 / BR-381 / MG-010
MG|Uberlândia|Sudeste|-18.918|-48.277|BR-050 / BR-365 / BR-452
MG|Juiz de Fora|Sudeste|-21.762|-43.349|BR-040 / BR-267
MG|Montes Claros|Sudeste|-16.728|-43.858|BR-251 / BR-135 / BR-365
MG|Governador Valadares|Sudeste|-18.854|-41.949|BR-116 / BR-381
MG|Ipatinga|Sudeste|-19.468|-42.536|BR-381 / BR-458
MG|Poços de Caldas|Sudeste|-21.787|-46.561|BR-267 / BR-146
PA|Belém / Ananindeua|Norte|-1.455|-48.490|BR-316 / BR-010
